
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable6/0/0-downstream0;RFGW10-Channel_6/1.1-Gi6/10;37;34.65;0.46;13.28;87.67;37;0;0
Modular-Cable6/0/0-downstream3;RFGW10-Channel_6/1.4-Gi6/10;37;34.72;0.45;13.19;87.05;34;0;0
Modular-Cable6/0/0-downstream2;RFGW10-Channel_6/3.5-Gi6/10;37;34.7;0.46;13.21;87.41;32;0;0
Modular-Cable6/0/0-downstream11;RFGW10-Channel_6/2.4-Gi6/10;37;32.5;0.71;10.58;75.13;4;0;0
Modular-Cable6/0/0-downstream9;RFGW10-Channel_6/2.2-Gi6/10;37;32.51;0.72;10.64;75.41;4;0;0
Modular-Cable6/0/0-downstream8;RFGW10-Channel_6/2.1-Gi6/10;37;32.5;0.72;10.55;74.86;4;0;0
Modular-Cable6/0/0-downstream12;RFGW10-Channel_6/2.5-Gi6/10;37;32.68;0.72;10.6;75.66;4;0;0
Modular-Cable6/0/0-downstream15;RFGW10-Channel_6/2.8-Gi6/10;37;32.24;0.73;10.59;75.16;4;0;0
Modular-Cable6/0/0-downstream10;RFGW10-Channel_6/2.3-Gi6/10;37;32.67;0.72;10.76;75.91;4;0;0
Modular-Cable6/0/0-downstream13;RFGW10-Channel_6/2.6-Gi6/10;37;32.64;0.72;10.55;75.22;4;0;0
Modular-Cable6/0/0-downstream14;RFGW10-Channel_6/2.7-Gi6/10;37;32.15;0.71;10.63;74.42;4;0;0


Node_CEN-03/CEN-08

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/0/0-downstream14;RFGW10-Channel_6/1.15;37;26.47;0.47;10.09;59.11;0;0;0
Modular-Cable7/0/0-downstream15;RFGW10-Channel_6/1.16;37;26.61;0.47;10.09;58.84;0;0;0
Modular-Cable7/0/0-downstream12;RFGW10-Channel_6/1.13;37;26.47;0.47;10.06;59.13;0;0;0
Modular-Cable7/0/0-downstream13;RFGW10-Channel_6/1.14;37;26.4;0.47;10.07;59.12;0;0;0
Modular-Cable7/0/0-downstream10;RFGW10-Channel_6/1.11;37;26.43;0.47;10.06;59.07;0;0;0
Modular-Cable7/0/0-downstream11;RFGW10-Channel_6/1.12;37;26.45;0.47;10.06;58.89;0;0;0
Modular-Cable7/0/0-downstream4;RFGW10-Channel_6/1.5;37;17.59;0.32;6.04;40.38;0;0;0
Modular-Cable7/0/0-downstream5;RFGW10-Channel_6/1.6;37;17.59;0.28;6.03;39.88;0;0;0
Modular-Cable7/0/0-downstream6;RFGW10-Channel_6/1.7;37;17.46;0.28;5.99;39.99;0;0;0
Modular-Cable7/0/0-downstream7;RFGW10-Channel_6/1.8;37;17.57;0.28;6.0;40.03;0;0;0
Modular-Cable7/0/0-downstream0;RFGW10-Channel_6/1.1;37;17.58;0.28;6.18;40.33;0;0;0
Modular-Cable7/0/0-downstream1;RFGW10-Channel_6/1.11;37;17.92;0.28;6.18;40.11;0;0;0
Modular-Cable7/0/0-downstream2;RFGW10-Channel_6/7.5;37;17.61;0.28;6.12;39.88;0;0;0
Modular-Cable7/0/0-downstream3;RFGW10-Channel_6/1.4;37;17.63;0.28;6.06;40.08;0;0;0
Modular-Cable7/0/0-downstream8;RFGW10-Channel_6/1.9;37;26.63;0.47;10.06;59.12;0;0;0
Modular-Cable7/0/0-downstream9;RFGW10-Channel_6/1.10;37;26.45;0.47;10.06;59.2;0;0;0


Node_CEN-04/CEN-07

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/0-downstream19;RFGW10-Channel_7/1.20;37;29.82;0.15;8.93;66.53;1;0;0
Modular-Cable7/1/0-downstream18;RFGW10-Channel_7/1.19;37;29.83;0.16;8.93;66.79;2;0;0
Modular-Cable7/1/2-downstream7;RFGW10-Channel_7/2.8;37;24.28;0.48;8.75;51.48;0;0;0
Modular-Cable7/1/2-downstream3;RFGW10-Channel_7/2.4;37;24.36;0.47;8.75;51.43;0;0;0
Modular-Cable7/1/2-downstream5;RFGW10-Channel_7/2.6;37;24.45;0.47;8.74;51.7;0;0;0
Modular-Cable7/1/2-downstream4;RFGW10-Channel_7/2.5;37;24.48;0.47;8.74;51.79;0;0;0
Modular-Cable7/1/0-downstream20;RFGW10-Channel_7/1.21;37;29.7;0.16;9.11;66.17;1;0;0
Modular-Cable7/1/0-downstream21;RFGW10-Channel_7/1.22;37;29.73;0.27;8.94;66.12;1;0;0
Modular-Cable7/1/0-downstream17;RFGW10-Channel_7/1.18;37;29.83;0.16;9.09;66.61;2;0;0
Modular-Cable7/1/0-downstream16;RFGW10-Channel_7/1.17;37;29.93;0.18;9.15;67.48;1;0;0
Modular-Cable7/1/0-downstream22;RFGW10-Channel_7/1.23;37;29.73;0.16;8.91;65.92;1;0;0
Modular-Cable7/1/2-downstream6;RFGW10-Channel_7/2.7;37;24.47;0.47;8.74;51.83;0;0;0
Modular-Cable7/1/2-downstream0;RFGW10-Channel_7/2.1;37;24.27;0.47;8.9;52.24;0;0;0
Modular-Cable7/1/0-downstream23;RFGW10-Channel_7/1.24;37;29.52;0.15;8.89;66.87;0;0;0
Modular-Cable7/1/2-downstream1;RFGW10-Channel_7/2.11;37;24.73;0.48;8.78;51.67;0;0;0
Modular-Cable7/1/2-downstream2;RFGW10-Channel_7/2.21;37;24.29;0.47;8.77;51.37;0;0;0


Node_CEN-05/CEN-09

